Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
LOC285847,285847,no,no,yes,no,no,no,no,1
HLA-F-AS1,285830,no,no,yes,no,no,no,no,1
LOC285819,285819,no,no,no,no,no,no,yes,1
DCBLD1,285761,no,no,yes,no,no,no,no,1
LINC01268,285758,no,no,yes,no,no,no,no,1
C5orf51,285636,no,no,yes,no,no,no,no,1
RELL2,285613,no,no,yes,no,no,no,no,1
YIPF7,285525,no,no,yes,no,no,no,no,1
LINC01098,285501,no,no,yes,no,no,no,no,1
DCAF4L1,285429,no,no,yes,no,no,no,no,1
SUMF1,285362,no,yes,no,no,no,no,no,1
C3orf38,285237,no,no,yes,no,no,no,no,1
DLL1,28514,no,no,yes,no,no,no,no,1
C2orf61,285051,no,no,yes,no,no,no,no,1
MIR663AHG,284801,no,no,yes,no,no,no,no,1
MCHR1,2847,no,no,no,no,yes,no,no,1
ZNF326,284695,no,no,yes,no,no,no,no,1
NBPF15,284565,no,yes,no,no,no,no,no,1
GPR22,2845,no,no,yes,no,no,no,no,1
ZNF615,284370,no,no,yes,no,no,no,no,1
NKPD1,284353,no,no,yes,no,no,no,no,1
ZSCAN1,284312,no,no,yes,no,no,no,no,1
GPR20,2843,no,no,yes,no,no,no,no,1
SMIM21,284274,no,no,yes,no,no,no,no,1
LOC284219,284219,no,no,yes,no,no,no,no,1
LINC00482,284185,no,no,yes,no,no,no,no,1
GDPD1,284161,no,no,yes,no,no,no,no,1
FAM27E5,284123,no,no,yes,no,no,no,no,1
CISD3,284106,no,no,yes,no,no,no,no,1
C17orf47,284083,no,no,yes,no,no,no,no,1
CDRT4,284040,no,yes,no,no,no,no,no,1
LOC284009,284009,no,no,yes,no,no,no,no,1
LINC00469,283982,no,no,yes,no,no,no,no,1
FAM98B,283742,no,no,yes,no,no,no,no,1
LOC283693,283693,no,no,no,no,no,no,yes,1
LOC283692,283692,no,no,no,no,no,no,yes,1
LOC283683,283683,no,no,yes,no,no,no,no,1
TSSK4,283629,no,no,yes,no,no,no,no,1
MIR4697HG,283174,no,no,no,no,no,no,yes,1
OR8D1,283159,no,no,yes,no,no,no,no,1
GPR6,2830,no,no,yes,no,no,no,no,1
RAB40AL,282808,no,no,yes,no,no,no,no,1
GPR4,2828,no,no,yes,no,no,no,no,1
GPR1,2825,no,no,yes,no,no,no,no,1
GPM6A,2823,no,no,no,yes,no,no,no,1
GPD2,2820,no,no,yes,no,no,no,no,1
GP1BB,2812,no,yes,no,no,no,no,no,1
GP1BA,2811,no,no,yes,no,no,no,no,1
SFN,2810,no,no,yes,no,no,no,no,1
GOT1,2805,no,no,yes,no,no,no,no,1
GNS,2799,no,no,yes,no,no,no,no,1
GNAZ,2781,no,no,yes,no,no,no,no,1
GLUD1,2746,no,no,yes,no,no,no,no,1
GLI3,2737,no,no,yes,no,no,no,no,1
GLI2,2736,no,no,yes,no,no,no,no,1
GLI1,2735,no,no,yes,no,no,no,no,1
TMEM97,27346,no,no,yes,no,no,no,no,1
TNRC6A,27327,no,no,yes,no,no,no,no,1
GLDC,2731,no,yes,no,no,no,no,no,1
RBMS3,27303,no,no,no,no,no,no,yes,1
GCLM,2730,no,no,no,no,yes,no,no,1
DHDH,27294,no,no,yes,no,no,no,no,1
GCLC,2729,no,no,yes,no,no,no,no,1
LSM1,27257,no,no,no,yes,no,no,no,1
RNF115,27246,no,yes,no,no,no,no,no,1
COQ2,27235,no,no,yes,no,no,no,no,1
SULT1C4,27233,no,no,yes,no,no,no,no,1
CPNE7,27132,no,no,no,no,no,no,yes,1
DKK2,27123,no,no,yes,no,no,no,no,1
DKK4,27121,no,no,no,no,yes,no,no,1
FOXP1,27086,no,no,no,no,no,no,yes,1
GJA5,2702,no,yes,no,no,no,no,no,1
GJA3,2700,no,no,yes,no,no,no,no,1
CHORDC1,26973,no,no,yes,no,no,no,no,1
GJA1,2697,no,no,yes,no,no,no,no,1
SMR3A,26952,no,no,yes,no,no,no,no,1
GIP,2695,no,no,yes,no,no,no,no,1
RNU1-1,26871,no,no,yes,no,no,no,no,1
